Location,Price (RM),Bathrooms,Car Parks,Type,Size,Furnishing,Bedrooms,Store,Size_Encoded
81,800000,3,2,82,1430,1,3,0,966
10,9000000,6,4,49,8000,1,5,0,3256
24,9600000,9,6,46,7600,1,7,1,3198
40,978458,1,0,84,562,1,1,0,131
16,1750000,5,3,58,2700,1,4,1,1808
54,1300000,2,0,57,1200,1,3,0,745
101,1613300,4,3,58,2336,1,3,1,1617
41,1200000,2,1,57,969,1,2,0,516
54,2285000,6,3,58,2874,1,4,2,1883
21,363000,2,1,86,950,1,3,0,497
35,1430000,4,3,58,2638,1,3,1,1774
69,1147000,5,5,57,2500,1,5,1,1708
43,1000000,1,1,57,751,1,1,0,304
54,645000,1,1,82,462,0,1,0,60
43,1780000,1,1,82,728,0,1,0,282
43,1900000,2,1,57,915,1,2,1,464
27,2290000,3,0,8,2200,1,4,1,1541
43,1000000,1,1,60,751,1,1,0,304
43,1450000,2,1,86,1050,0,2,0,597
24,18000000,7,6,45,16000,0,7,0,3766
27,1150000,2,2,58,1580,1,3,0,1097
43,3354000,2,1,86,1006,0,2,0,553
43,1780000,1,1,82,728,0,1,0,282
43,3600000,5,2,83,3897,1,3,1,2350
14,900000,3,1,86,1063,0,3,0,610
35,938000,3,2,61,1523,1,2,1,1050
10,1590000,3,0,12,1900,2,4,1,1346
9,668000,1,0,82,815,4,2,0,365
54,1800000,4,2,57,2038,1,3,1,1441
14,2981550,3,0,83,1509,1,2,0,1036
73,380000,2,2,57,950,4,3,1,497
54,1450000,4,2,57,1496,1,3,1,1024
54,1200000,2,2,57,1200,1,3,0,745
54,1850000,4,2,57,2038,1,3,1,1441
16,980000,3,2,57,1513,1,4,1,1040
43,1377000,2,1,61,871,1,2,0,421
43,1621000,2,2,61,1031,1,3,0,578
43,1245000,1,2,86,925,1,1,0,474
43,3600000,5,2,83,3897,1,3,1,2350
43,4958000,5,4,87,2615,0,4,0,1764
43,1830000,4,2,82,1426,0,3,1,962
43,2688800,5,2,58,2593,0,3,1,1756
